name,ticker,year,controversy,environment,social,governance,annual_return,sd
EXPEDIA GROUP,EXPE,2022,69.55763,29.986261,34.216113,16.766022,0.039781,0.415277
EXTRA SPACE STRG.,EXR,2022,100.0,17.258976,49.544712,15.145202,0.189113,0.211013
FORD MOTOR,F,2022,27.830836,87.907093,89.139711,41.00821,0.022123,0.399087
DIAMONDBACK ENERGY,FANG,2022,86.017668,29.045047,41.06657,71.984659,0.11013,0.41835
FASTENAL,FAST,2022,97.234885,43.278553,34.250221,51.591865,0.149285,0.265048
FREEPORT-MCMORAN,FCX,2022,78.031607,78.573169,78.555898,88.206864,0.113782,0.450596
FACTSET RESEARCH SYS.,FDS,2022,100.0,23.914768,56.68644,80.553263,0.185095,0.223166
FEDEX,FDX,2022,34.429434,72.623047,66.025047,79.256833,0.083448,0.262044
FIRSTENERGY,FE,2022,64.765546,58.182612,56.887598,63.508412,0.04612,0.208061
F5,FFIV,2022,99.414935,25.38992,71.690627,58.047128,0.147049,0.314251
FISERV,FI,2022,89.681342,13.635106,34.798405,53.05819,0.121883,0.208738
FAIR ISAAC,FICO,2022,97.314599,12.514015,41.280604,43.459282,0.327761,0.31935
FIDELITY NAT.INFO.SVS.,FIS,2022,85.552735,30.755239,75.790695,36.640384,0.041655,0.229896
FIFTH THIRD BANCORP,FITB,2022,85.081904,61.913702,66.298492,68.805584,0.017563,0.353842
FLEETCOR TECHNOLOGIES,FLT,2022,90.680116,9.933547,23.173425,43.506707,0.242791,0.25412
FMC,FMC,2022,82.890729,65.362909,60.303292,73.607584,0.112444,0.287394
FOX B,FOX,2022,64.764218,33.719811,69.898963,57.693401,-0.042175,0.303323
FOX A,FOXA,2022,64.764218,33.719811,69.898963,57.693401,-0.032807,0.311293
FEDERAL REALTY INV.TST.,FRT,2022,100.0,55.907659,52.459028,74.548842,0.10756,0.223901
FIRST SOLAR,FSLR,2022,84.98471,62.817692,76.599382,58.514087,0.073872,0.53557
FORTINET,FTNT,2022,98.85513,40.33743,63.816551,40.844107,0.284585,0.364332
FORTIVE,FTV,2022,100.0,32.730744,51.869635,60.668332,0.068096,0.231799
GENERAL DYNAMICS,GD,2022,84.821666,36.107358,55.501714,70.889692,0.107352,0.213844
