ticker,controversy,environment,social,governance,human_rights,community,workforce,product_responsibility,shareholders,management
BWA,99.1769,60.1415,47.4454,43.6951,41.8509,76.4707,40.558,37.7462,42.9185,40.3678
BX,55.7264,32.531,62.1099,3.2668,29.8337,87.1856,50.2696,44.9569,1.2963,0.7319
BXP,99.4433,69.8085,60.8913,54.5164,10.4238,81.996,64.3697,39.4176,28.617,59.9202
C,11.6959,92.7457,80.6987,83.3803,86.2621,90.1998,89.914,49.8082,64.159,86.9658
CAG,70.1327,64.7013,70.8408,79.6308,25.9332,94.7611,78.9413,89.6395,96.6724,74.6921
CAH,60.2352,51.931,54.5433,69.363,37.4954,79.5301,62.8659,38.348,83.8825,68.3485
CARR,100.0,48.9084,79.6589,57.0905,61.2815,98.2602,81.8527,81.4766,83.5699,42.5348
CAT,73.2783,70.1903,75.8181,76.1345,69.141,91.5217,70.8757,71.8139,57.6972,82.4365
CB,71.5642,49.9177,41.7302,58.4882,20.1477,62.7773,40.4163,33.4147,8.1325,75.6378
CBOE,88.9254,21.5648,51.3815,60.9493,1.0115,74.7363,42.0804,40.4316,76.888,61.3253
CBRE,91.8918,77.6705,84.7031,90.4702,81.6846,95.0093,84.822,61.5661,92.8742,90.0965
CCI,93.93,44.1719,50.6614,64.6033,45.8727,51.7088,58.5978,39.2177,73.9696,66.6794
CCL,57.8659,72.6376,71.1573,66.5849,79.0922,71.6647,91.7884,57.0332,78.4477,57.7928
CDAY,100.0,26.6502,65.1402,42.1073,36.8826,92.6738,79.6018,34.1337,31.8409,43.7015
CDNS,98.6422,37.9945,60.0063,59.4814,35.7483,74.1331,50.4418,59.8434,91.195,56.0232
CDW,100.0,23.0027,53.2698,64.0252,22.7339,87.9956,75.2893,45.8006,47.1843,74.2984
CE,95.8182,47.6667,46.2162,68.1748,24.7229,68.3828,40.2451,75.8805,44.1645,80.4613
CEG,100.0,44.9586,58.2499,45.3408,39.4109,59.7491,84.6774,14.8011,73.9667,28.7398
CF,97.4264,39.3251,58.2232,80.8161,63.7699,86.4989,44.9958,32.3399,68.274,87.4578
CFG,93.4688,38.6923,55.4556,74.7898,0.0,83.5562,60.4804,66.6704,72.3211,84.3703
CHD,97.481,53.1756,59.7458,66.4482,59.5451,60.3439,42.4851,71.2088,22.8148,78.2185
CHRW,100.0,19.5381,50.1214,33.8473,2.3936,74.5704,65.3357,42.5648,35.2968,33.1713
CHTR,77.0016,22.3206,31.3006,21.6542,0.0,45.4188,43.8074,40.1811,26.5678,20.0771
CI,63.5466,77.4757,76.2127,56.7013,75.5612,93.1972,91.7022,52.0583,83.1357,43.8306
CINF,99.6305,29.1735,43.521,63.1888,0.0,69.3033,50.1527,34.815,28.7716,79.1693
CL,89.0901,82.1975,87.9618,86.7974,80.5321,96.285,85.2244,91.6462,82.7682,88.4147
CLX,84.979,56.2602,67.4776,76.009,70.3054,86.3728,66.034,56.3346,78.1508,72.8904
CMA,78.3477,50.1255,61.6277,83.504,3.6837,97.7615,65.0677,68.0605,64.3374,91.395
CMCSA,34.6771,48.2134,59.5147,51.5228,65.003,92.6619,59.3822,30.9312,16.6219,65.6392
CME,85.8234,19.9559,62.6588,47.1007,15.2347,86.8335,56.1732,44.8436,59.7065,48.4221
CMG,63.9214,35.1419,66.1324,41.0644,47.5832,64.3307,50.9668,82.9604,27.9603,45.9646
CMI,98.1426,61.6908,73.4401,69.8415,77.4103,92.417,78.5919,42.9122,81.1804,62.8845
CMS,95.3487,42.97,44.4114,65.315,46.3522,77.0301,36.1321,14.1809,87.0197,55.3422
CNC,72.1848,30.8351,50.8577,58.9831,17.3571,78.3529,55.3657,41.6899,56.4827,64.9543
CNP,95.2568,19.9695,29.8211,83.7328,2.6394,59.1672,22.0331,46.5665,69.4349,89.5215
COF,68.828,56.8786,74.5113,65.7449,53.1511,95.0635,73.5224,71.9452,50.3271,72.0622
COO,100.0,25.3032,45.7127,65.3563,21.625,76.2923,45.7448,40.2827,73.7934,73.4764
COP,60.1836,70.4359,72.2995,62.0389,55.4056,96.957,93.0318,43.5437,69.1258,53.4929
COR,45.109,38.5464,56.8667,80.8543,25.9909,72.0958,75.3538,58.3512,56.2056,92.1772
COST,68.4371,80.8076,50.8028,66.87,61.9993,38.3312,50.2578,60.5288,29.4544,84.8977
CPB,88.6902,79.8643,88.4663,68.8351,81.7877,97.2782,88.7907,88.5529,51.9922,69.8799
CPRT,100.0,2.3692,51.8013,43.5211,21.2928,67.935,47.1026,53.2667,64.8725,43.6181
CPT,100.0,40.2207,55.2202,63.7736,23.092,81.8405,48.3772,34.6794,42.9669,77.3618
CRL,81.0824,43.539,80.5485,45.4752,47.5739,87.383,86.5862,76.4104,38.7833,52.6712
CRM,82.5678,69.6849,70.3186,49.3408,57.3046,95.538,87.3013,32.606,39.4832,46.0782
CSCO,54.3829,69.8066,92.2713,86.7409,79.6813,95.921,90.6383,94.3366,71.518,90.6212
CSGP,96.1196,16.9099,45.9756,73.5527,11.4402,65.9181,51.4783,34.242,56.267,88.2084
CSX,80.9263,68.5137,58.4604,50.1241,38.7279,95.3366,61.8421,26.6024,78.0457,36.1579
CTAS,86.8297,54.2938,65.5064,72.6225,66.8299,75.5732,70.8315,43.0777,58.8974,84.1473
CTLT,77.5373,49.5725,62.6212,32.6736,53.5221,82.7413,66.9539,49.374,32.7926,31.6899
CTRA,67.4856,26.803,17.5834,52.6651,6.0172,43.4968,24.8646,0.0,54.5319,57.6647
CTSH,64.2609,53.1165,82.4441,58.1601,82.441,92.1037,91.8488,63.5026,43.8166,61.7405
CTVA,44.1636,49.5884,56.5421,71.8365,57.7747,71.826,51.1037,44.226,91.9988,60.9806
CVS,40.9556,87.9325,88.0559,79.1841,84.254,93.7022,84.9855,87.2986,80.9437,77.0969
CVX,29.9205,74.948,78.2125,82.3919,81.6687,90.0608,73.6152,63.6688,86.3062,82.8304
CZR,71.2977,37.3471,59.9712,46.7737,53.8519,76.1231,64.0835,51.6614,66.8982,38.7025
D,80.7697,77.5395,70.3763,80.2754,56.402,91.5213,58.4575,83.5644,75.3048,79.9544
DAL,40.4933,69.0665,77.7475,54.4307,73.6241,93.7065,68.0091,81.508,80.0259,41.3533
DD,48.521,67.4137,61.7229,70.9179,81.7659,71.2723,45.5909,28.4193,95.3256,58.4039
DE,81.9498,73.825,73.6856,46.0288,54.1374,90.7741,76.7601,77.8746,57.5596,38.6671
DFS,74.1033,16.6456,53.4042,72.4841,8.6436,67.1634,67.5575,52.5914,90.2086,76.7385
DG,66.9755,8.6065,46.6341,59.5124,37.5734,59.6598,35.8441,45.7465,43.8387,75.8503
DGX,90.2163,57.9702,73.8807,68.5347,31.7514,91.1463,73.0167,81.1334,52.2029,75.6709
DHI,97.8164,29.7707,27.0858,74.5518,14.2142,55.4712,30.9507,15.0434,80.0962,87.7989
DHR,85.7387,48.6302,72.1299,60.6603,66.024,72.1716,75.1834,75.2749,51.841,63.8804
DIS,19.9667,57.8468,84.3816,49.3203,64.7552,96.5148,79.448,91.2608,59.4747,43.0512
DLR,95.3935,64.1414,53.9074,57.4034,34.8566,55.5767,65.6607,40.3703,60.7738,57.0868
DLTR,67.9048,44.7906,58.4319,56.5183,56.1133,60.0666,46.3697,68.7503,90.1399,52.086
DOV,95.547,68.3094,43.6248,72.1514,40.9429,69.4541,23.4458,36.6948,59.8311,82.999
DOW,55.5314,87.7472,87.8025,90.1528,93.3666,90.3431,99.4018,58.8657,99.7672,85.4233
DPZ,67.454,20.2681,48.4726,54.4406,17.6133,59.749,25.3017,67.5087,38.2098,63.5519
DRI,85.8255,48.0821,67.2341,42.2235,40.1815,66.8058,65.674,80.2756,18.8581,56.2315
DTE,90.3523,76.1948,55.8767,73.7565,3.6645,78.989,57.8251,82.1013,76.7343,70.2782
DUK,76.0202,72.9512,68.4744,61.8254,54.2282,91.5052,73.3039,37.0107,60.7035,60.3347
DVA,70.3698,62.9415,58.6294,70.4478,44.9451,89.0248,79.9901,25.9016,53.3764,78.8311
DVN,86.4046,44.8918,59.2078,51.31,61.6992,70.9561,64.9972,27.077,76.5035,42.6161
DXCM,100.0,27.2782,56.8034,20.857,17.8198,60.6882,64.7041,81.1146,42.6241,13.1544
EA,68.342,31.8366,53.9632,55.9935,15.1249,74.4132,77.6425,32.731,64.6942,61.415
EBAY,51.7741,44.866,60.3476,58.1101,38.6949,83.9806,72.0974,32.7211,44.0118,60.769
ECL,92.5283,66.9182,85.1571,51.4651,87.7688,94.2189,84.6549,70.4705,56.7469,41.9896
ED,88.41,55.6069,57.7454,76.1476,11.6158,71.545,75.8597,50.9661,65.8264,82.9509
EFX,58.6024,20.0861,33.9056,53.9618,0.0,59.0214,44.693,41.8996,43.8087,65.3295
EG,100.0,14.481,35.9868,72.4467,4.2969,58.8176,33.9657,33.9947,16.3562,93.5286
EIX,62.9044,63.5134,66.4426,75.2426,58.3848,86.1388,60.2334,59.8827,66.0768,78.3896
EL,90.0143,74.6857,69.2558,27.2534,65.6652,83.5192,80.9495,56.9866,2.4816,25.683
ELV,80.2164,73.3026,76.9876,77.419,59.4125,88.5393,91.92,66.1939,68.2973,81.2399
EMN,91.5449,73.834,69.6281,71.6614,58.9146,82.7212,70.7647,77.157,35.8967,80.5042
