Symbol,Name,Year,CSR Strategy Score,Community Score,ESG Combined Score,ESG Controversies Score,ESG Score,Emissions Score,Environment Pillar Score,Environmental Innovation Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,TRDIR Controversies Score,TRDIR Diversity Score,TRDIR Inclusion Score,TRDIR People Development Score,TRDIR Score,Workforce Score,Total Returns,Standard Deviation,Predicted Total Returns
APA,APA,2005,56.21926755944444,65.89779998444445,38.30135789111111,92.52371486377778,39.959894159444445,51.80788544111111,37.023110324166666,0.0,45.66002619,32.62400462111111,42.28746106216667,14.559005403888888,53.15920341444444,49.862415705555556,39.178857299444445,100.0,23.571428571428573,26.857142857142858,42.285714285714285,48.17857142857143,43.105724502777775,0.08021827777777778,0.42759522222222224,0.80%
APD,AIR PRDS.& CHEMS.,2005,81.11365571444445,84.60184154277778,72.77920060722222,97.87037037055556,73.17573513722222,89.61286594722223,79.65467493277778,78.76826349000001,70.33570406166666,55.21198333944445,66.47839895777777,73.08811431166666,71.13612819666668,76.00808664277777,68.09672772833333,100.0,37.57142857142857,48.714285714285715,50.0,59.07142857142857,72.10172551444445,0.1607245,0.21299205555555556,1.61%
APH,AMPHENOL 'A',2004,20.02753602705263,62.80365181052632,40.024871033684214,96.98464912263158,40.250134474736846,18.654232564210528,25.82925474,28.91761716473684,54.801451178947374,14.15086063894737,58.83817836478948,78.09900866421053,29.78280818210526,64.52830399105264,44.12320550789474,100.0,24.857142857142858,18.571428571428573,16.857142857142858,40.07142857142857,41.41917879368421,0.21509684210526314,0.23578005263157897,2.15%
APTV,APTIV,2011,36.963738254166664,79.21514070083333,47.89315402333333,97.55047997333334,47.89315402333333,46.57031005583334,42.7968386025,36.4308081875,53.256020041666666,39.736446261666664,59.0398980125,56.731144455,51.000733680916674,44.837948000833336,48.93209735666667,100.0,34.57142857142857,11.857142857142858,31.0,55.3125,31.292213380833335,0.23896445454545454,0.30681600000000003,2.39%
ARE,ALEXANDRIA RLST.EQTIES.,2009,31.151009784285716,59.60606839214286,47.930625115714285,100.0,47.930625115714285,41.45062486692858,33.86807551357143,42.86114051285715,61.06804930214286,5.873326514285714,78.15037666357144,62.75049214928571,24.511169246571427,24.07165111685714,51.412276372142856,100.0,20.4,0.0,34.4,,44.41773681571429,0.11796435714285715,0.23135971428571428,1.18%
ATO,ATMOS ENERGY,2009,19.563812445714287,69.75584284,30.308498322142857,87.5,30.308498322142857,23.18327058164286,15.627803146785713,14.464392717857143,46.710293875,0.0,47.96737078428571,36.70846166214285,9.661883278071429,60.617691802857145,33.334933667142856,100.0,24.0,0.0,36.75,,29.297743970714286,0.15827478571428572,0.16662785714285716,1.58%
AVB,AVALONBAY COMMNS.,2004,44.485569160555556,79.49360766277778,55.46478123111111,93.76984127,55.46478123111111,42.60823316611111,41.554661787222216,50.58560667777778,65.84246443833334,28.258593211666668,69.88355374833333,32.980698075,38.30920239611111,66.61009692777778,61.69639132611111,100.0,30.166666666666668,15.666666666666666,40.5,56.125,70.15337951444445,0.1735173888888889,0.21152983333333333,1.74%
AVGO,BROADCOM,2010,21.73349903307692,53.44858723,36.03142899076923,70.6349206346923,42.16107235846154,12.551519383846154,32.71233643446154,60.670978410000004,48.17254380384615,34.52507025538462,44.16285315084615,76.05590082923078,17.289427341076923,79.16420915384614,45.38956427307692,100.0,21.285714285714285,6.285714285714286,27.714285714285715,45.333333333333336,28.720633576923078,0.36253992307692307,0.2969066153846154,3.63%
AVY,AVERY DENNISON,2002,31.832516909190478,60.36301994571428,50.05420651880953,96.72619047619048,50.3626714697619,43.72359392952381,49.60809983566667,43.87102214095238,47.998308937809526,43.611359564761905,52.85403193719047,37.19100473571429,58.67168067095238,42.58976029904762,52.44085844404762,100.0,50.666666666666664,25.666666666666668,69.0,61.333333333333336,73.28436542380953,0.11686119047619048,0.2471839523809524,1.17%
AWK,AMERICAN WATER WORKS,2008,50.315863612,83.78972252,65.44067249533333,87.777777778,67.29425162266666,44.497849803533335,59.036244406,66.97497228933334,75.676436458,62.216465072666665,82.08100329333334,87.80842417933333,66.95903243886667,71.23492890733334,71.98621907733333,100.0,45.57142857142857,29.857142857142858,45.285714285714285,55.17857142857143,63.389221164,0.18979492857142857,0.17244371428571428,1.90%
AXON,AXON ENTERPRISE,2015,3.8503850383333336,28.54840185333333,24.54550737,88.23529411833333,25.306451416666665,5.05952381,2.2676343266666668,0.0,42.25560572333333,16.366396123333335,50.25714128966666,45.88708911166666,1.568627451,41.18730095833333,25.266599285,100.0,11.6,4.2,5.4,40.75,20.698087906666668,0.35769,0.4978301666666667,3.58%
AXP,AMERICAN EXPRESS,2002,42.84699461428571,88.43287878857143,52.66817364142857,65.64250851095238,58.01123765809524,53.13391437004762,42.315614415714286,8.326403159809523,69.9278562752381,11.122233427142858,70.88584267904761,62.6248680752381,58.21372679142858,84.7884760347619,59.20470021809524,100.0,37.857142857142854,70.71428571428571,50.714285714285715,64.82142857142857,63.41074506142858,0.1492630476190476,0.25415866666666664,1.49%
